Returned byte 0x48
Returned byte 0x34
Returned byte 0x33
-396 -341 -501
-399 -333 -504
-398 -335 -503
-397 -339 -501
-402 -332 -507
-400 -336 -501
-407 -334 -499
-408 -334 -499
-405 -338 -493
-412 -336 -495
-409 -336 -492
-412 -336 -490
-417 -330 -494
-413 -339 -481
-418 -333 -484
-420 -334 -483
-421 -338 -477
-428 -332 -481
-426 -335 -477
-427 -330 -476
-430 -330 -480
-431 -334 -471
-433 -329 -477
-436 -334 -471
-435 -333 -470
-437 -325 -473
-436 -330 -466
-441 -330 -468
-441 -328 -468
-441 -335 -458
-445 -328 -465
-447 -328 -459
-451 -330 -455
-453 -323 -462
-450 -331 -448
-458 -329 -451
-458 -328 -448
-456 -332 -441
-458 -326 -448
-458 -332 -443
-462 -330 -440
-464 -326 -442
-464 -328 -432
-467 -324 -432
-471 -327 -429
-471 -324 -429
-476 -320 -431
-475 -323 -423
-479 -323 -426
-480 -323 -424
-479 -324 -413
-481 -321 -419
-483 -325 -412
-485 -324 -412
-486 -319 -414
-483 -328 -404
-487 -326 -406
-488 -327 -402
-483 -332 -400
-489 -325 -401
-488 -332 -389
-495 -327 -385
-499 -327 -384
-497 -330 -371
-506 -325 -370
-508 -325 -365
-511 -324 -361
-514 -319 -358
-513 -328 -349
-514 -325 -346
-518 -325 -339
-514 -327 -335
-523 -320 -336
-524 -322 -327
-525 -322 -324
-532 -319 -321
-528 -323 -312
-534 -320 -312
-533 -319 -312
-533 -315 -309
-539 -313 -312
-537 -317 -306
-541 -312 -307
-539 -312 -306
-542 -311 -299
-547 -307 -302
-547 -308 -298
-550 -310 -292
-552 -305 -292
-550 -307 -280
-557 -305 -280
-552 -307 -277
-556 -309 -270
-556 -300 -273
-554 -308 -266
-558 -307 -263
-557 -301 -261
-557 -308 -252
-558 -296 -256
-558 -304 -252
-563 -299 -244
-567 -294 -246
-563 -302 -235
-570 -298 -234
-569 -299 -229
-563 -305 -226
-569 -295 -223
-569 -300 -219
-571 -294 -215
-575 -296 -215
-572 -302 -208
-576 -291 -209
-577 -294 -209
-575 -295 -210
-577 -292 -209
-575 -299 -204
-573 -296 -205
-573 -296 -206
-568 -300 -201
-573 -296 -202
-572 -299 -199
-574 -296 -197
-578 -291 -198
-577 -296 -191
-582 -289 -188
-581 -291 -186
-582 -289 -184
-585 -276 -182
-583 -288 -177
-586 -282 -174
-590 -284 -174
-580 -288 -170
-589 -278 -165
-587 -280 -166
-586 -280 -160
-594 -274 -155
-585 -282 -145
-591 -278 -147
-591 -276 -135
-588 -281 -129
-597 -271 -123
-591 -274 -112
-593 -269 -112
-595 -266 -101
-589 -274 -95
-592 -268 -90
-592 -271 -85
-586 -276 -80
-592 -264 -72
-586 -270 -64
-590 -267 -56
-588 -268 -50
-582 -275 -44
-587 -266 -43
-583 -270 -39
-583 -268 -36
-587 -263 -33
-581 -273 -26
-586 -265 -23
-584 -268 -23
-578 -272 -18
-583 -262 -17
-576 -268 -17
-582 -267 -10
-577 -265 -10
-574 -274 -7
-577 -267 -3
-573 -267 -1
-572 -266 7
-577 -257 12
-571 -266 16
-573 -259 21
-573 -257 26
-567 -263 32
-570 -256 35
-567 -260 37
-566 -260 43
-568 -259 43
-558 -267 47
-563 -262 49
-560 -266 49
-552 -266 53
-559 -260 50
-551 -268 57
-553 -264 56
-554 -266 58
-545 -272 65
-548 -260 66
-543 -268 67
-545 -268 74
-548 -262 77
-541 -270 79
-541 -264 82
-541 -265 85
-533 -269 84
-545 -259 86
-538 -272 86
-539 -269 84
-535 -274 84
-529 -274 86
-536 -266 87
-528 -277 90
-528 -274 91
-525 -278 93
-516 -283 95
-528 -273 100
-517 -282 99
-522 -276 102
-523 -276 100
-513 -286 105
-518 -279 105
-514 -281 105
-512 -285 104
-519 -280 104
-509 -286 106
-512 -281 108
-510 -280 110
-504 -292 114
-513 -282 110
-504 -288 108
-504 -292 107
-509 -290 107
-496 -299 105
-498 -294 106
-495 -300 108
-491 -302 109
-495 -297 107
-490 -305 107
-490 -305 108
-488 -305 112
-482 -311 109
-486 -308 111
-481 -313 108
