Returned byte 0x48
Returned byte 0x34
Returned byte 0x33
86 -217 -739
76 -236 -734
67 -256 -725
52 -270 -715
40 -286 -709
27 -300 -702
10 -312 -694
-13 -323 -688
-35 -334 -679
-56 -340 -677
-81 -348 -673
-100 -346 -670
-120 -349 -669
-135 -346 -671
-152 -342 -673
-166 -340 -675
-182 -336 -676
-202 -330 -678
-220 -329 -675
-231 -318 -682
-240 -316 -678
-255 -309 -684
-268 -295 -690
-292 -288 -684
-323 -270 -686
-354 -250 -685
-387 -232 -683
-418 -210 -679
-441 -193 -672
-461 -178 -667
-472 -165 -669
-475 -151 -676
-479 -135 -679
-486 -122 -677
-497 -109 -679
-502 -90 -679
-505 -78 -682
-511 -58 -683
-519 -41 -682
-527 -33 -679
-531 -12 -678
-541 2 -671
-549 16 -668
-558 33 -660
-568 47 -657
-572 62 -646
-585 80 -638
-594 98 -626
-604 118 -612
-617 133 -601
-625 154 -586
-639 165 -568
-653 177 -541
-666 192 -517
-679 198 -492
-686 213 -469
-698 220 -439
-710 226 -411
-721 236 -387
-725 245 -364
-731 252 -350
-730 268 -333
-733 275 -314
-734 282 -294
-734 288 -275
-739 292 -257
-744 284 -236
-750 277 -212
-753 265 -188
-757 254 -162
-766 235 -135
-769 216 -107
-770 191 -78
-772 170 -52
-769 149 -24
-769 126 3
-765 106 27
-759 89 52
-751 63 73
-742 47 93
-734 23 114
-728 -7 134
-710 -27 151
-700 -46 169
-685 -60 180
-669 -87 196
-654 -111 216
-634 -132 233
-611 -157 246
-586 -184 261
-565 -198 273
-557 -208 276
-539 -224 281
-512 -242 293
-497 -254 300
-477 -260 310
-454 -270 319
-436 -277 333
-415 -283 340
-389 -293 350
-366 -296 362
-343 -295 373
-324 -296 380
-304 -295 387
-278 -302 395
-251 -304 401
-234 -307 404
-208 -314 404
-177 -316 409
-193 -314 406
-249 -302 407
-221 -312 400
-191 -330 396
-169 -341 388
-176 -347 380
-160 -363 369
-142 -371 358
-131 -390 342
-131 -407 322
-101 -440 284
-82 -466 235
-74 -485 205
-74 -502 171
-68 -516 130
-62 -530 93
-64 -545 45
-59 -555 2
-60 -564 -42
-61 -570 -88
-60 -569 -127
-65 -569 -174
-67 -568 -216
-68 -566 -257
-69 -561 -306
-70 -549 -342
-68 -540 -378
-65 -525 -422
-61 -514 -453
-61 -498 -492
-58 -480 -522
-51 -461 -558
-51 -438 -594
-50 -417 -616
-46 -395 -646
-53 -373 -672
-51 -354 -693
-64 -333 -713
-73 -312 -727
-84 -288 -746
-101 -269 -761
-115 -244 -773
-123 -218 -789
-139 -190 -802
-149 -162 -812
-164 -130 -823
-177 -103 -832
-188 -75 -839
-199 -52 -843
-210 -30 -845
-222 -1 -847
-229 27 -846
-244 53 -846
-259 80 -845
-270 104 -839
-296 133 -827
-325 152 -818
-354 170 -803
-388 190 -778
-419 204 -756
-455 217 -737
-490 228 -706
-521 238 -678
-553 245 -648
-578 251 -614
-601 259 -585
-623 265 -546
-647 253 -514
-670 256 -479
-693 258 -429
-710 255 -381
-727 255 -339
-736 254 -297
-743 251 -257
-749 243 -209
-751 242 -170
-752 240 -129
-750 242 -92
-745 239 -56
-740 242 -17
-734 249 9
-722 245 45
-714 245 83
-702 250 109
-688 247 140
-674 253 171
-658 253 194
-640 253 233
-618 266 251
-594 286 282
-567 305 302
-538 322 319
-507 330 347
-475 345 363
-447 356 380
-417 361 396
-387 371 406
-355 376 420
-323 378 431
-292 383 441
-255 366 463
-223 348 476
-219 310 498
-251 245 512
-357 156 497
-358 229 484
-296 268 492
-284 209 514
-272 162 526
-261 147 531
-264 131 533
-269 110 533
-271 96 532
-271 67 535
-280 40 532
-286 1 526
-291 -37 520
-290 -71 511
-286 -108 500
-281 -138 490
-285 -166 476
-280 -202 461
-268 -229 448
-255 -253 433
-242 -280 423
-224 -301 409
-214 -326 388
-195 -343 373
-187 -362 358
-182 -387 336
-174 -403 318
-170 -423 291
-167 -440 261
-161 -458 233
-162 -479 201
-153 -494 165
-152 -512 130
-147 -529 86
-142 -539 52
-138 -549 12
-143 -554 -33
-137 -556 -68
-143 -563 -109
-154 -564 -133
-186 -560 -150
-217 -554 -156
-237 -549 -171
-242 -549 -207
-224 -548 -246
-222 -542 -281
-232 -536 -306
-237 -529 -330
-243 -522 -362
-257 -509 -390
-271 -495 -414
-280 -484 -438
-289 -475 -453
-296 -463 -470
-306 -446 -499
-314 -429 -523
-320 -400 -564
-324 -377 -595
-326 -353 -617
-326 -330 -645
-334 -307 -659
-336 -289 -677
-337 -271 -689
-337 -254 -705
-328 -232 -720
-324 -211 -733
-317 -195 -748
-305 -174 -763
-294 -165 -770
-284 -148 -783
-270 -139 -788
-258 -135 -796
-244 -127 -804
-233 -129 -803
-221 -132 -805
-205 -132 -801
-198 -141 -802
-186 -158 -798
-195 -177 -783
-207 -203 -767
-225 -226 -752
-254 -239 -733
-277 -242 -718
-308 -241 -709
-332 -236 -701
-354 -227 -699
-374 -207 -698
-392 -192 -698
-411 -171 -702
-423 -152 -707
-431 -132 -708
-436 -109 -718
-440 -90 -722
-446 -68 -726
-445 -44 -728
-452 -28 -733
-451 -8 -738
-447 10 -743
-447 27 -743
-446 42 -744
-452 53 -744
-454 70 -744
-456 83 -739
-469 90 -733
-478 101 -728
-496 99 -709
-513 105 -699
-529 112 -683
-551 116 -659
-571 121 -637
-595 119 -611
-623 116 -580
-640 119 -549
-664 118 -520
-678 115 -487
-690 112 -454
-707 112 -424
-716 110 -391
-724 101 -361
-737 96 -328
-739 88 -302
-748 82 -275
-751 67 -253
-750 48 -233
-752 27 -209
-749 10 -197
-749 -10 -186
-744 -26 -184
-741 -47 -185
-736 -57 -183
-737 -70 -185
-733 -87 -190
-728 -103 -194
-717 -121 -202
-712 -145 -205
-700 -171 -204
-683 -200 -206
-673 -222 -216
-659 -240 -236
-651 -253 -257
-637 -270 -270
-623 -283 -281
-610 -303 -283
-590 -325 -282
-572 -346 -275
-555 -365 -263
-539 -388 -250
-519 -406 -233
-498 -423 -222
-474 -439 -219
-453 -456 -218
-423 -470 -218
-401 -484 -219
-375 -498 -221
-351 -508 -220
-331 -516 -215
-310 -524 -208
-286 -532 -197
-268 -541 -181
-245 -546 -170
-224 -551 -143
-203 -554 -107
-185 -549 -63
-169 -545 -10
-159 -536 36
-143 -529 68
-121 -527 85
-82 -524 88
-47 -521 91
-17 -520 98
15 -513 100
50 -503 100
84 -495 101
110 -486 113
125 -471 137
153 -450 151
186 -436 154
221 -415 149
241 -405 153
256 -391 158
278 -378 155
297 -362 154
314 -347 155
332 -330 154
353 -314 150
376 -292 137
402 -270 125
419 -248 115
440 -225 103
456 -203 95
471 -181 90
480 -162 76
492 -140 74
501 -118 68
507 -98 66
519 -70 65
524 -36 46
535 -10 42
539 30 31
543 65 26
539 101 39
531 136 47
516 173 67
503 204 93
473 240 129
442 278 170
412 310 191
388 343 198
376 376 185
361 404 163
343 437 160
318 464 154
297 488 147
272 514 145
245 529 139
221 549 137
194 567 138
173 577 130
156 591 124
149 602 112
153 599 109
139 603 118
138 600 119
137 599 116
119 617 105
25 660 56
-2 677 11
-28 686 -39
-50 699 -86
-72 702 -128
-94 703 -165
-127 704 -192
-155 700 -223
-182 696 -251
-219 689 -282
-249 676 -312
-282 661 -346
-288 643 -396
-286 627 -445
-306 611 -471
-337 598 -474
-365 587 -470
-399 576 -474
-418 561 -473
-446 550 -468
-476 535 -458
-497 517 -461
-507 496 -480
-513 475 -514
-514 448 -537
-516 425 -562
-514 397 -590
-514 367 -617
-501 339 -648
-486 302 -683
-467 269 -716
-439 235 -746
-410 204 -773
-389 172 -788
-366 145 -806
-348 115 -818
-323 92 -826
-303 65 -834
-283 41 -841
-258 19 -845
-238 -5 -849
-213 -25 -853
-186 -49 -852
-159 -63 -852
-134 -76 -849
-105 -96 -849
-83 -110 -843
-52 -125 -835
-32 -142 -828
-2 -152 -820
29 -168 -809
52 -184 -800
82 -195 -783
111 -216 -764
142 -235 -739
176 -249 -715
204 -266 -687
229 -275 -661
252 -287 -637
278 -284 -620
305 -269 -604
326 -262 -592
351 -262 -565
366 -271 -530
379 -290 -489
393 -307 -439
406 -317 -395
417 -315 -363
435 -310 -334
443 -308 -300
452 -299 -266
463 -298 -231
469 -296 -192
471 -289 -152
475 -284 -114
476 -271 -76
477 -258 -37
475 -249 0
473 -235 37
475 -217 62
489 -201 63
499 -178 46
513 -160 36
519 -146 35
522 -131 39
521 -123 60
513 -115 88
498 -105 143
472 -93 194
455 -81 230
438 -75 264
428 -64 278
422 -55 290
420 -55 297
421 -45 294
423 -41 300
417 -33 305
411 -26 308
410 -21 324
409 -13 323
408 -12 328
411 -6 329
413 2 323
419 2 313
432 1 299
445 -6 282
460 -11 265
475 -13 235
494 -21 203
512 -26 168
530 -29 122
549 -39 74
564 -41 9
581 -40 -61
589 -37 -138
584 -25 -228
574 -8 -329
543 16 -436
488 42 -548
412 58 -655
311 73 -746
219 78 -805
161 78 -829
131 90 -839
94 98 -850
41 107 -861
-24 107 -872
-85 103 -875
-145 100 -874
-200 91 -865
-255 82 -854
-313 79 -836
-373 61 -811
-427 41 -780
-478 23 -746
-525 7 -703
-572 -10 -650
-617 -32 -595
-656 -51 -533
-687 -69 -469
-710 -84 -410
-727 -92 -336
-737 -114 -253
-739 -138 -155
-725 -151 -61
-709 -151 17
-697 -128 80
-696 -95 120
-697 -71 141
-690 -47 170
-671 -37 208
-643 -22 265
-597 -8 324
-550 5 382
-490 25 433
-437 45 471
-387 69 504
-340 103 518
-297 129 532
-252 160 540
-209 178 547
-167 195 553
-117 209 548
-51 216 545
-3 216 535
44 212 528
87 204 519
121 193 505
155 179 498
188 158 485
219 133 474
247 105 461
271 79 443
297 53 425
317 21 411
327 -11 395
322 -47 394
318 -81 388
301 -118 388
281 -161 384
270 -198 372
251 -238 361
236 -274 346
217 -308 327
195 -346 307
172 -373 291
139 -400 272
109 -427 250
80 -455 223
46 -490 179
12 -520 127
-20 -537 78
-53 -552 28
-80 -566 -20
-108 -570 -67
-133 -572 -114
-156 -570 -150
-177 -567 -190
-206 -561 -211
-241 -553 -224
-286 -540 -216
-309 -529 -256
-325 -507 -334
-334 -477 -415
-356 -441 -471
-384 -406 -501
-413 -384 -513
-443 -362 -507
-473 -341 -503
-501 -326 -491
