Header Lines
Date	mSecs Since Epoch	Calculate Derivative	Channel	Signal	Target	Error	Control	Derivative	Integral	Integral Limit	P coefficient	I coefficient	D coefficient
090715-124748.570	1436446068570	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124748.619	1436446068619	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124748.670	1436446068670	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124748.719	1436446068719	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124748.770	1436446068770	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124748.819	1436446068819	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124748.870	1436446068870	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124748.919	1436446068919	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124748.969	1436446068969	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124749.019	1436446069019	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124749.069	1436446069069	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124749.119	1436446069119	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124749.173	1436446069173	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124749.221	1436446069221	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124749.269	1436446069269	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124749.319	1436446069319	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124749.369	1436446069369	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124749.422	1436446069422	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124749.469	1436446069469	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124749.519	1436446069519	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124749.569	1436446069569	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124749.619	1436446069619	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124749.669	1436446069669	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124749.719	1436446069719	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124749.772	1436446069772	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124749.821	1436446069821	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124749.870	1436446069870	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124749.919	1436446069919	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124749.969	1436446069969	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124750.020	1436446070020	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124750.073	1436446070073	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124750.122	1436446070122	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124750.173	1436446070173	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124750.220	1436446070220	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124750.271	1436446070271	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124750.323	1436446070323	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124750.372	1436446070372	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124750.420	1436446070420	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124750.470	1436446070470	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124750.522	1436446070522	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124750.571	1436446070571	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124750.620	1436446070620	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124750.670	1436446070670	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124750.719	1436446070719	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
