Header Lines
Date	mSecs Since Epoch	Calculate Derivative	Channel	Signal	Target	Error	Control	Derivative	Integral	Integral Limit	P coefficient	I coefficient	D coefficient
090715-124747.769	1436446067769	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124747.821	1436446067821	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124747.871	1436446067871	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124747.920	1436446067920	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124747.970	1436446067970	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124748.020	1436446068020	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124748.071	1436446068071	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124748.122	1436446068122	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124748.172	1436446068172	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124748.220	1436446068220	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124748.271	1436446068271	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124748.321	1436446068321	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124748.372	1436446068372	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124748.419	1436446068419	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124748.469	1436446068469	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
