Header Lines
Date	mSecs Since Epoch	Calculate Derivative	Channel	Signal	Target	Error	Control	Derivative	Integral	Integral Limit	P coefficient	I coefficient	D coefficient
090715-124749.019	1436446069019	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-20.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124749.069	1436446069069	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-21.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124749.119	1436446069119	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-21.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124749.173	1436446069173	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-21.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124749.221	1436446069221	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-21.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124749.269	1436446069269	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-22.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124749.319	1436446069319	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-22.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124749.369	1436446069369	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-22.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124749.422	1436446069422	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-22.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124749.469	1436446069469	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-23.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124749.519	1436446069519	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-23.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124749.569	1436446069569	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-23.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124749.619	1436446069619	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-23.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124749.669	1436446069669	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-24.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124749.719	1436446069719	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-24.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124749.772	1436446069772	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-24.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124749.820	1436446069820	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-24.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124749.870	1436446069870	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-25.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124749.919	1436446069919	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-25.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124749.969	1436446069969	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-25.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124750.020	1436446070020	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-25.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124750.073	1436446070073	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-26.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124750.122	1436446070122	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-26.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124750.173	1436446070173	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-26.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124750.220	1436446070220	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-26.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124750.271	1436446070271	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-27.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124750.323	1436446070323	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-27.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124750.372	1436446070372	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-27.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124750.420	1436446070420	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-27.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124750.470	1436446070470	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-28.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124750.522	1436446070522	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-28.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124750.571	1436446070571	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-28.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124750.620	1436446070620	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-28.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124750.670	1436446070670	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-29.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124750.719	1436446070719	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-29.250000	5.000000	-2.000000	0.000000	-0.500000
